file_name,file_path,headline_kind,quarter_end_raw,quarter_end,Revenue,COGS,GrossProfit,OperatingExpenses,OperatingIncome,NetIncome,AdministrativeExpenses,DistributionCosts,OtherIncomeAndGains,note,error
DIPD.N0000_01.pdf,data\raw_files\DIPD.N0000\DIPD.N0000_01.pdf,QUARTER,30TH JUNE 2025,2025-06-30,22269974,-18029684,4240290,-2951983,7399758,1072533,-2361617,-590366,207485,,
DIPD.N0000_02.pdf,data\raw_files\DIPD.N0000\DIPD.N0000_02.pdf,YEAR,31ST MARCH 2025,2025-03-31,19481816,-14905949,4575867,-2613159,7652626,1756787,-2314307,-298852,463600,,
DIPD.N0000_03.pdf,data\raw_files\DIPD.N0000\DIPD.N0000_03.pdf,,31ST DECEMBER 2024,2024-12-31,19343267,-15514434,3828833,-2860296,7244280,1157488,-2210547,-649749,555151,,
DIPD.N0000_04.pdf,data\raw_files\DIPD.N0000\DIPD.N0000_04.pdf,,30TH SEPTEMBER 2024,2024-09-30,21277143,-16638143,4639000,-2624352,7385385,1306732,-2099002,-525350,122033,,
DIPD.N0000_05.pdf,data\raw_files\DIPD.N0000\DIPD.N0000_05.pdf,QUARTER,30TH JUNE 2024,2024-06-30,19186326,-15665738,3520588,-2598062,6281359,812512,-2059343,-538719,162709,,
DIPD.N0000_06.pdf,data\raw_files\DIPD.N0000\DIPD.N0000_06.pdf,YEAR,31ST MARCH 2024,2024-03-31,19076054,-13583528,5492526,-2347454,8336036,2958639,-2211934,-135520,496056,,
DIPD.N0000_07.pdf,data\raw_files\DIPD.N0000\DIPD.N0000_07.pdf,,31ST DECEMBER 2023,2023-12-31,18041721,-14175982,3865739,-2638729,6615657,916225,-1911062,-727667,111189,,
DIPD.N0000_08.pdf,data\raw_files\DIPD.N0000\DIPD.N0000_08.pdf,,30TH SEPTEMBER 2023,2023-09-30,18272973,-14039036,4233937,-2852531,7186367,1143122,-2107915,-744616,99899,,
DIPD.N0000_09.pdf,data\raw_files\DIPD.N0000\DIPD.N0000_09.pdf,QUARTER,30TH JUNE 2023,2023-06-30,18551212,-15084368,3466844,-2310752,5890272,719991,-1962193,-348559,112676,,
DIPD.N0000_10.pdf,data\raw_files\DIPD.N0000\DIPD.N0000_10.pdf,YEAR,31ST MARCH 2023,2023-03-31,18518298,-13171748,5346550,-3042379,8624398,1500437,-2928560,-113819,235469,,
DIPD.N0000_11.pdf,data\raw_files\DIPD.N0000\DIPD.N0000_11.pdf,,31ST DECEMBER 2022,2022-12-31,19586955,-15328969,4257986,-2867627,7454013,922039,-1881749,-985878,328400,,
