file_name,quarter_end,Revenue,GrossProfit,COGS,OperatingExpenses,OperatingIncome,NetIncome
DIPD.N0000_01.pdf,2025-06-30,22269974,4240290,-18029684.0,-2951983,7399758,1072533.0
DIPD.N0000_02.pdf,2025-03-31,19481816,4575867,-14905949.0,-2613159,7652626,1756787.0
DIPD.N0000_03.pdf,2024-12-31,19343267,3828833,-15514434.0,-2860296,7244280,1157488.0
DIPD.N0000_04.pdf,2024-09-30,21277143,4639000,-16638143.0,-2624352,7385385,1306732.0
DIPD.N0000_05.pdf,2024-06-30,19186326,3520588,-15665738.0,-2598062,6281359,812512.0
DIPD.N0000_06.pdf,2024-03-31,19076054,5492526,-13583528.0,-2347454,8336036,2958639.0
DIPD.N0000_07.pdf,2023-12-31,18041721,3865739,-14175982.0,-2638729,6615657,916225.0
DIPD.N0000_08.pdf,2023-09-30,18272973,4233937,-14039036.0,-2852531,7186367,1143122.0
DIPD.N0000_09.pdf,2023-06-30,18551212,3466844,-15084368.0,-2310752,5890272,719991.0
DIPD.N0000_10.pdf,2023-03-31,18518298,5346550,-13171748.0,-3042379,8624398,1500437.0
DIPD.N0000_11.pdf,2022-12-31,19586955,4257986,-15328969.0,-2867627,7454013,922039.0
DIPD.N0000_12.pdf,2022-09-30,21263582,4648619,-16614963.0,-2584397,7367403,1827312.0
DIPD.N0000_13.pdf,2022-06-30,20730476,5355916,-15374560.0,-2253288,7677696,4252636.0
DIPD.N0000_14.pdf,2022-03-31,12550438,2376251,-10174187.0,-1811340,4648243,3011102.0
REXP.N0000_01.pdf,2025-06-30,1329766,152598,-1177168.0,-271361,439773,6190.0
REXP.N0000_02.pdf,2025-03-31,1487035,18014,,-293241,323464,8255.0
REXP.N0000_03.pdf,2024-12-31,1941892,34298,,-366856,407205,38504.0
REXP.N0000_04.pdf,2024-09-30,2139733,32602,,-88697,129516,3605.0
REXP.N0000_05.pdf,2024-06-30,1682540,43147,,0,83712,4657.0
REXP.N0000_06.pdf,2024-03-31,1486128,62942,,-5258,78440,
REXP.N0000_07.pdf,2023-12-31,2089873,19656,,-336681,368364,74245.0
REXP.N0000_08.pdf,2023-09-30,2069984,8055,,-202073,210648,3650.0
REXP.N0000_09.pdf,2023-06-30,1474458,198491,,0,206269,480.0
REXP.N0000_10.pdf,2023-03-31,702720,467954,-1234766.0,-151029,626646,-247409.0
REXP.N0000_11.pdf,2022-12-31,1909048,421895,-1487153.0,-416016,845036,2558.0
REXP.N0000_12.pdf,2022-09-30,2661097,681220,,17655,666136,50235.0
REXP.N0000_13.pdf,2022-06-30,2767931,1032840,,-572884,1612317,991673.0
REXP.N0000_14.pdf,2022-03-31,1604137,566158,-1037979.0,-305844,877655,33219.0
